,parcel_number,address,finsqft,use,year_built,transfer_date,amount,total_rooms,bedrooms,full_baths,half_baths,conveyance_number,deed_type,num_parcels_sold,acreage,annual_tax,effective_tax_rate,school_district,appraisal_area,board_of_revision,rental_registration,homestead,owner_occupancy_credit,foreclosure,special_assessments,market_land_value,cauv_value,market_improvement_value,market_total_value,tif_value,abated_value,exempt_value,taxes_paid
0,001-0001-0059-00,6329 COFFEY ST,1001,510,1947,07-06-2009,"$139,000",5,3,1,1,322155,WD - Warranty Deed (Conv),1,0.234,"$3,747.50",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,YES(16),No,No,Yes,No,Yes,26620,0,148380,175000,0,0,0,"$3,747.50"
1,001-0001-0191-00,6574 COFFEY ST,1129,510,1952,08-27-2009,"$112,500",6,3,1,0,323189,WD - Warranty Deed (Conv),1,0.155,"$3,925.68",69.301606,CINCINNATI CSD,00119 - MT WASHINGTON 19,No,No,No,No,No,Yes,25570,0,149430,175000,0,0,0,"$3,925.68"
2,001-0001-0203-00,6564 RAINBOW LN,1129,510,1954,08-03-2009,"$117,000",5,3,1,1,178475,WD - Warranty Deed (Conv),1,0.144,"$3,446.93",69.301606,CINCINNATI CSD,00119 - MT WASHINGTON 19,No,No,No,Yes,No,Yes,26140,0,134700,160840,0,0,0,"$3,446.93"
3,001-0001-0424-00,6555 SILVERFOX DR,1044,555,2000,06-29-2009,"$142,000",5,2,1,1,341570,WE - Warranty Deed (EX),1,0.023,"$3,699.54",69.301606,CINCINNATI CSD,00102 - RESERVES OF TURPIN LANDO,No,No,No,Yes,No,No,40000,0,133500,173500,0,0,0,"$3,699.54"
4,001-0002-0133-00,2140 RONALDSON AVE,1244,510,1914,03-13-2009,"$102,000",5,2,1,0,93767,WD - Warranty Deed (Conv),1,0.217,"$3,030.93",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,26410,0,111500,137910,0,0,0,"$3,030.93"
5,001-0003-0197-00,1954 SUTTON AVE,1101,510,1950,08-03-2009,"$125,000",5,2,1,0,26009,WD - Warranty Deed (Conv),1,0.226,"$3,274.17",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,26360,0,126460,152820,0,0,0,"$3,274.17"
6,001-0003-0206-00,1806 WILARAY TE,921,510,1937,03-02-2009,"$129,250",5,2,1,0,19240,WD - Warranty Deed (Conv),1,0.188,"$2,979.52",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,24670,0,114340,139010,0,0,0,"$2,979.52"
7,002-0002-0216-00,1648 MEARS AVE,1080,510,1928,04-06-2009,"$135,300",6,2,1,0,111508,WD - Warranty Deed (Conv),1,0.137,"$2,940.27",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,20310,0,116700,137010,0,0,0,"$2,940.27"
8,002-0002-0267-00,1655 ALCOR TE,1125,510,1938,05-14-2009,"$110,000",5,2,1,0,22085,WD - Warranty Deed (Conv),1,0.122,"$3,244.49",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,29700,0,121810,151510,0,0,0,"$3,244.49"
9,002-0004-0034-00,6209 DAWES LN,1122,510,1951,04-02-2009,"$105,000",6,3,1,0,298682,QE - Quit Claim Deed (EX),1,0.230,"$3,109.39",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,26360,0,118720,145080,0,0,0,"$3,109.39"
10,002-0007-0075-00,1354 BURSAL AVE,918,510,1947,07-10-2009,"$114,200",5,2,1,0,196077,WD - Warranty Deed (Conv),1,0.208,"$2,533.42",69.301606,CINCINNATI CSD,00120 - MT WASHINGTON 20,No,No,No,Yes,No,Yes,33740,0,84230,117970,0,0,0,"$2,533.42"
11,003-0002-0040-00,6031 WAYSIDE AVE,1125,510,1910,07-10-2009,"$118,000",5,2,1,0,314730,WD - Warranty Deed (Conv),1,0.530,"$3,365.37",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,40120,0,115880,156000,0,0,0,"$3,365.37"
